haar,52.359160,7.077570
wildberg,53.652420,13.123970
wildberg,53.652420,13.123970
walting,49.241450,12.782150
neustadt,49.350090,8.138860
kassel,51.316670,9.500000
gladbeck,51.915950,7.282110
schwalbach,50.496720,8.469430
heiligenhaus,51.326620,6.971060
salzburg,52.125220,9.582310
rosenheim,47.856370,12.122470
meissen,52.269840,8.954890
kalkar,51.739070,6.291010
bramsche,52.456990,7.368110
aurich,53.469190,7.482320
waiblingen,48.891200,10.055880
reiskirchen,50.504040,8.510460
altenburg,51.363340,11.997590
horstmar,52.080980,7.305390
griesheim,50.099140,8.596950
olfen,51.707870,7.378930
schopfloch,49.119170,10.307740
kempen,53.058720,9.723010
rothenburg,53.529700,14.065070
stockach,50.187270,10.548540
oberursel,50.207310,8.577470
maisach,48.216670,11.266670
aldenhoven,51.137620,6.567760
herschbach,50.583330,7.733330
hattingen,51.398940,7.185570
parsberg,47.784440,11.864500
uelzen,51.542450,7.723930
moosburg,49.657410,12.154310
brechen,50.353780,8.196460
aschersleben,53.656880,13.929880
eppstein,50.142770,8.392310
kronberg,50.184240,8.523200
stade,53.593370,9.476290
monchberg,49.793260,9.268580
furth,51.281320,6.238360
burscheid,51.084680,7.113930
weinsberg,49.151270,9.287620
oberkirch,49.715900,6.585020
ense,53.113520,9.762080
weissensee,52.917490,13.945860
plauen,51.027840,13.708690
coswig,51.886180,12.450090
niederkassel,51.241720,6.753500
binz,54.399950,13.610520
nordhorn,51.927320,8.384400
neu wulmstorf,53.466670,9.800000
emden,53.367450,7.207780
geisingen,48.940430,9.185170
menden,51.405310,6.900520
naumburg,51.248160,9.165690
simmern,50.389140,7.673960
siegsdorf,48.500590,12.639210
langenhagen,54.213220,10.774250
schwelm,51.286350,7.293880
friedberg,53.595120,13.608740
winsen,53.833330,10.016670
aichach,48.457550,11.134130
sonneberg,51.053320,14.693220
werl,51.806250,8.022580
heinsberg,51.063580,6.099800
egenhofen,48.358870,10.361820
morsbach,51.179100,7.153200
osterby,54.800000,9.216670
morbach,49.807720,7.127140
twist,52.637930,7.066220
winterberg,52.160030,8.866310
wedel,53.583740,9.698350
grefrath,51.336300,6.340720
heide,51.433330,7.016670
windeck,50.221290,8.880740
reken,54.107870,12.836150
soest,49.616670,6.466670
bedburg,51.761620,6.177970
kerpen,50.869910,6.696910
koblenz,51.376440,14.328150
gotha,51.415800,12.611790
ansbach,49.917880,9.621320
schmelz,50.027460,11.710350
wittenberge,53.147010,7.874120
homburg,50.912000,7.529780
wenden,52.172600,8.783820
planegg,48.106720,11.424830
metzingen,53.130040,10.962720
olpe,51.356850,8.168790
borna,51.316060,13.188240
