79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(4)	EQ:	kronau	kronau	47.973200	12.047880	211.433626km	2883778
(4)	EQ:	kronau	kronau	47.813760	11.023640	239.935490km	2883779
(1)	EQ:	ruthen	ruthen	53.481410	12.031310	0.000000km	2842815
(1)	EQ:	langensendelbach	langensendelbach	49.640510	11.071040	0.000000km	2880912
(1)	EQ:	tamm	tamm	48.919880	9.115560	0.000000km	2824284
(1)	EQ:	zaberfeld	zaberfeld	49.056110	8.926940	0.000000km	2805361
(1)	EQ:	niefern-oschelbronn	niefern-oschelbronn	48.916670	8.783330	0.000000km	3206254
(1)	EQ:	schwaikheim	schwaikheim	48.877330	9.349580	0.000000km	2835385
(1)	EQ:	raunheim	raunheim	50.013200	8.452530	0.000000km	2849913
(1)	EQ:	salzbergen	salzbergen	52.333330	7.350000	0.000000km	2842175
(1)	EQ:	altenmarkt an der alz	altenmarkt an der alz	48.002580	12.536710	0.000000km	2957539
(0)	No match: kernen
(5)	EQ:	blumberg	blumberg	53.206140	14.152450	0.000000km	2947580
(5)	EQ:	blumberg	blumberg	52.602940	13.617980	76.152384km	2947581
(5)	EQ:	blumberg	blumberg	51.518820	13.185260	198.975193km	2947582
(5)	EQ:	blumberg	blumberg	48.552200	12.276390	534.252267km	2947583
(5)	EQ:	blumberg	blumberg	47.840580	8.533290	717.161632km	2947584
(1)	EQ:	perl	perl	49.471690	6.381340	0.000000km	2854859
(1)	EQ:	klingenberg am main	klingenberg am main	49.785070	9.180250	0.000000km	2887736
(1)	EQ:	lauffen am neckar	lauffen am neckar	49.073400	9.145670	0.000000km	2880111
(1)	EQ:	harsum	harsum	52.210450	9.964860	0.000000km	2910269
(2)	EQ:	wildau	wildau	52.316670	13.633330	0.000000km	2809033
(2)	EQ:	wildau	wildau	51.900000	13.550000	46.712805km	2809034
(0)	No match: furstenau
(1)	EQ:	alteglofsheim	alteglofsheim	48.916670	12.200000	0.000000km	2957938
(0)	No match: ueckermunde
(4)	EQ:	hohenfels	hohenfels	50.250000	6.733330	0.000000km	2901773
(4)	EQ:	hohenfels	hohenfels	49.203970	11.848410	386.624586km	2901774
(4)	EQ:	hohenfels	hohenfels	47.600000	8.100000	311.240165km	2901775
(4)	EQ:	hohenfels	hohenfels	47.884970	9.108240	315.072984km	8643362
(1)	EQ:	gottenheim	gottenheim	48.050000	7.733330	0.000000km	2918707
(0)	No match: kussaberg
(1)	EQ:	usingen	usingen	50.335540	8.536880	0.000000km	2818097
(1)	EQ:	heeslingen	heeslingen	53.316670	9.333330	0.000000km	2908273
(10)	EQ:	ebersdorf	ebersdorf	53.525140	9.048970	0.000000km	2933916
(10)	EQ:	ebersdorf	ebersdorf	51.078110	14.683770	470.828420km	2933917
(10)	EQ:	ebersdorf	ebersdorf	50.958900	9.323940	286.166834km	2933918
(10)	EQ:	ebersdorf	ebersdorf	50.881230	12.977280	398.222638km	2933919
(10)	EQ:	ebersdorf	ebersdorf	50.489920	11.348970	372.775699km	2933920
(10)	EQ:	ebersdorf	ebersdorf	50.484610	11.667570	383.069058km	2933921
(10)	EQ:	ebersdorf	ebersdorf	50.328980	11.152660	383.896091km	2933922
(10)	EQ:	ebersdorf	ebersdorf	49.412840	10.647460	470.780056km	2933923
(10)	EQ:	ebersdorf	ebersdorf	49.339640	12.325420	518.285331km	2933924
(10)	EQ:	ebersdorf	ebersdorf	48.766980	13.386690	609.937034km	2933925
(1)	EQ:	baierbrunn	baierbrunn	48.020300	11.486890	0.000000km	2953213
(1)	EQ:	kahl am main	kahl am main	50.069810	9.005530	0.000000km	2894245
(5)	EQ:	blankenburg	blankenburg	52.592930	13.455160	0.000000km	2948069
(5)	EQ:	blankenburg	blankenburg	53.216780	13.935810	76.587457km	2948070
(5)	EQ:	blankenburg	blankenburg	51.790250	10.955090	192.874937km	2948071
(5)	EQ:	blankenburg	blankenburg	51.200000	10.750000	242.242993km	2948072
(5)	EQ:	blankenburg	blankenburg	48.583610	10.823610	483.283394km	2948073
(1)	EQ:	maulburg	maulburg	47.646310	7.782100	0.000000km	2872775
(1)	EQ:	stadecken-elsheim	stadecken-elsheim	49.912220	8.125280	0.000000km	3272454
(0)	No match: swisttal
(10)	EQ:	rodenbach	rodenbach	51.073920	8.756650	0.000000km	2846057
(10)	EQ:	rodenbach	rodenbach	50.771970	8.208690	51.115814km	2846058
(10)	EQ:	rodenbach	rodenbach	50.638030	7.649710	91.795945km	2846059
(10)	EQ:	rodenbach	rodenbach	50.461250	7.452450	114.499322km	2846060
(10)	EQ:	rodenbach	rodenbach	50.434550	9.928290	109.061227km	2846061
(10)	EQ:	rodenbach	rodenbach	50.301540	8.954500	87.051378km	2846062
(10)	EQ:	rodenbach	rodenbach	50.150000	9.033330	104.626585km	2846063
(10)	EQ:	rodenbach	rodenbach	49.960500	9.594210	137.361925km	2846064
(10)	EQ:	rodenbach	rodenbach	49.574140	8.106950	173.123349km	2846066
(10)	EQ:	rodenbach	rodenbach	49.472810	7.657920	194.555533km	2846067
(1)	EQ:	jettingen-scheppach	jettingen-scheppach	48.389600	10.438100	0.000000km	3336896
(1)	EQ:	neuhausen auf den fildern	neuhausen auf den fildern	48.683330	9.283330	0.000000km	2865086
(1)	EQ:	bessenbach	bessenbach	49.962400	9.247190	0.000000km	2826181
(10)	EQ:	hohenstein	hohenstein	54.287980	10.805400	0.000000km	2901427
(10)	EQ:	hohenstein	hohenstein	53.626840	13.589290	196.984834km	2901428
(10)	EQ:	hohenstein	hohenstein	52.568170	13.971170	284.410153km	2901429
(10)	EQ:	hohenstein	hohenstein	50.215600	10.933390	453.226018km	2901430
(10)	EQ:	hohenstein	hohenstein	49.587180	11.423810	524.759887km	2901432
(10)	EQ:	hohenstein	hohenstein	49.040080	9.120550	595.362494km	2901433
(10)	EQ:	hohenstein	hohenstein	48.447960	9.864820	653.009263km	2901434
(10)	EQ:	hohenstein	hohenstein	48.210180	8.615750	693.149761km	2901454
(10)	EQ:	hohenstein	hohenstein	50.802880	12.706920	408.665963km	8629484
(10)	EQ:	hohenstein	hohenstein	48.332260	9.332590	670.468449km	11073559
(1)	EQ:	schutterwald	schutterwald	48.450000	7.883330	0.000000km	2835596
(1)	EQ:	hahn bei marienberg	hahn bei marienberg	50.632780	7.941110	0.000000km	2912347
(1)	EQ:	bollendorf	bollendorf	49.852680	6.357950	0.000000km	2946657
(1)	EQ:	alpen	alpen	51.583330	6.516670	0.000000km	2958188
(1)	EQ:	munsingen	munsingen	48.411260	9.497040	0.000000km	2867560
(1)	EQ:	scheessel	scheessel	53.166670	9.483330	0.000000km	2840070
(1)	EQ:	weisenheim am sand	weisenheim am sand	49.518060	8.247780	0.000000km	2812084
(0)	No match: selters(westerwald)
(0)	No match: dautphetal
(2)	EQ:	turkheim	turkheim	48.584900	9.803150	0.000000km	2820751
(2)	EQ:	turkheim	turkheim	48.064010	10.641560	84.971895km	2820752
(1)	EQ:	roetgen	roetgen	50.650000	6.200000	0.000000km	2844277
(10)	EQ:	seefeld	seefeld	54.099770	9.493100	0.000000km	2833859
(10)	EQ:	seefeld	seefeld	53.847460	10.370440	64.052609km	2833860
(10)	EQ:	seefeld	seefeld	53.753560	11.269260	122.872273km	2833861
(10)	EQ:	seefeld	seefeld	53.451420	10.156780	84.390127km	2833862
(10)	EQ:	seefeld	seefeld	53.458160	8.363450	103.173888km	2833863
(10)	EQ:	seefeld	seefeld	53.092890	12.192760	210.943466km	2833864
(10)	EQ:	seefeld	seefeld	52.622430	13.680120	323.553677km	2833865
(10)	EQ:	seefeld	seefeld	48.035050	11.213950	685.338127km	2833866
(10)	EQ:	seefeld	seefeld	47.866670	9.433330	693.430891km	2833867
(10)	EQ:	seefeld	seefeld	47.849510	10.247940	697.333340km	2833868
(1)	EQ:	petersaurach	petersaurach	49.300000	10.750000	0.000000km	2854737
(2)	EQ:	lilienthal	lilienthal	53.141930	8.903380	0.000000km	2877709
(2)	EQ:	lilienthal	lilienthal	54.292880	10.301910	157.899736km	2877711
(5)	EQ:	boll	boll	48.643570	9.612950	0.000000km	2946696
(5)	EQ:	boll	boll	48.329610	8.986300	58.005229km	2946697
(5)	EQ:	boll	boll	48.300240	8.597400	84.239062km	2946698
(5)	EQ:	boll	boll	47.947390	9.028630	88.725823km	2946699
(5)	EQ:	boll	boll	47.836120	8.348480	129.930478km	2946700
(0)	No match: kirchheim bei munchen
(1)	EQ:	algermissen	algermissen	52.253320	9.969150	0.000000km	2958509
(2)	EQ:	niedernhausen	niedernhausen	50.163070	8.313380	0.000000km	2863046
(2)	EQ:	niedernhausen	niedernhausen	49.774270	8.820790	56.527113km	2863047
(1)	EQ:	grosshansdorf	grosshansdorf	53.666670	10.283330	0.000000km	2915556
(18)	EQ:	sulzbach	sulzbach	48.514680	8.152960	0.000000km	2824831
(18)	EQ:	sulzbach	sulzbach	48.247150	8.201450	29.964783km	2824832
(18)	EQ:	sulzbach	sulzbach	47.754690	12.744090	351.954979km	2824833
(18)	EQ:	sulzbach	sulzbach	51.003280	11.486890	366.420630km	2824834
(18)	EQ:	sulzbach	sulzbach	50.302550	7.752310	200.956347km	2824835
(18)	EQ:	sulzbach	sulzbach	50.162710	10.594700	255.087872km	2824836
(18)	EQ:	sulzbach	sulzbach	50.133960	8.527970	182.140867km	2824837
(18)	EQ:	sulzbach	sulzbach	49.833330	7.333330	158.358900km	2824838
(18)	EQ:	sulzbach	sulzbach	49.579080	8.658620	124.009303km	2824839
(18)	EQ:	sulzbach	sulzbach	49.350010	9.220780	121.451589km	2824840
(18)	EQ:	sulzbach	sulzbach	49.298820	7.056960	118.571254km	2824841
(18)	EQ:	sulzbach	sulzbach	49.147040	9.340060	111.986101km	2824842
(18)	EQ:	sulzbach	sulzbach	49.119710	12.347830	315.284776km	2824843
(18)	EQ:	sulzbach	sulzbach	48.898440	8.367860	45.512398km	2824844
(18)	EQ:	sulzbach	sulzbach	48.806860	8.361020	35.925046km	2824845
(18)	EQ:	sulzbach	sulzbach	48.536980	11.475800	245.430988km	2824846
(18)	EQ:	sulzbach	sulzbach	48.429140	11.085570	217.038905km	2824847
(18)	EQ:	sulzbach	sulzbach	48.424180	8.446400	23.918739km	2824848
(1)	EQ:	steinwiesen	steinwiesen	50.294440	11.462950	0.000000km	2827610
(1)	EQ:	wolfertschwenden	wolfertschwenden	47.893500	10.267150	0.000000km	2806831
(1)	EQ:	aschheim	aschheim	48.171120	11.716750	0.000000km	2955159
(3)	EQ:	blomberg	blomberg	51.943310	9.090670	0.000000km	2947641
(3)	EQ:	blomberg	blomberg	51.110650	7.718660	132.843128km	2947642
