79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(1)<0>	EQ:	wasserburg am inn	P	wasserburg am inn	48.052500	12.223410	0.000000km	2813755
(1)<0>	EQ:	mohnesee	P	mohnesee	51.500000	8.133330	0.000000km	3207377
(1)<0>	EQ:	dinslaken	P	dinslaken	51.562270	6.743400	0.000000km	2936871
(2)<1>	IN:	saulheim	A	saulheim	49.878890	8.156390	2.266999km	3272964
(1)<0>	EQ:	eberhardzell	P	eberhardzell	48.000000	9.816670	0.000000km	2934000
(2)<1>	EQ:	roding	A	roding	49.195300	12.516300	0.264264km	6558262
(2)<2>	EQ:	waldenburg	P	waldenburg	50.876530	12.599190	0.000000km	2815074
(2)<2>	EQ:	waldenburg	P	waldenburg	49.184680	9.639940	283.455769km	2815075
(2)<2>	EQ:	waldenburg	A	waldenburg	50.883300	12.600000	0.755290km	6550752
(2)<2>	EQ:	waldenburg	A	waldenburg	49.187500	9.642220	283.120925km	6557999
(1)<0>	EQ:	botzingen	P	botzingen	48.076420	7.724850	0.000000km	2945740
(1)<0>	EQ:	straelen	P	straelen	51.441900	6.266390	0.000000km	2826304
(0)<0>	No match: morfelden-walldorf
(1)<0>	EQ:	gablingen	P	gablingen	48.450000	10.816670	0.000000km	2923439
(1)<0>	EQ:	grenzach-wyhlen	P	grenzach-wyhlen	47.550000	7.683330	0.000000km	2917698
(1)<0>	EQ:	walsrode	P	walsrode	52.861470	9.592600	0.000000km	2814462
(1)<0>	EQ:	jork	P	jork	53.531980	9.680760	0.000000km	2894702
(2)<1>	EQ:	lehrte	A	lehrte	52.375260	9.971740	178.001189km	6557403
(1)<0>	EQ:	haslach im kinzigtal	P	haslach im kinzigtal	48.277730	8.089410	0.000000km	2909523
(1)<0>	EQ:	gransee	P	gransee	53.007040	13.157500	0.000000km	2918088
(1)<0>	EQ:	apen	P	apen	53.216670	7.800000	0.000000km	2955817
(1)<0>	IN:	giengen	P	giengen an der brenz	48.622190	10.243120	0.000000km	2920620
(2)<2>	EQ:	schenefeld	P	schenefeld	53.600000	9.850000	0.000000km	2832551
(2)<2>	EQ:	schenefeld	P	schenefeld	54.050000	9.483330	55.601842km	2839763
(2)<2>	EQ:	schenefeld	A	schenefeld	54.050000	9.483330	55.601842km	6552241
(2)<2>	EQ:	schenefeld	A	schenefeld	53.602780	9.823330	1.792477km	6557348
(8)<2>	EQ:	rossdorf	P	rossdorf	52.426830	12.208200	0.000000km	2844750
(8)<2>	EQ:	rossdorf	P	rossdorf	51.681260	12.330100	83.378674km	2844751
(8)<2>	EQ:	rossdorf	P	rossdorf	50.769910	8.891540	294.565204km	2844752
(8)<2>	EQ:	rossdorf	P	rossdorf	50.700000	10.216670	236.589334km	2844753
(8)<2>	EQ:	rossdorf	P	rossdorf	50.197650	8.910630	338.120294km	2844754
(8)<2>	EQ:	rossdorf	P	rossdorf	49.866540	10.996280	297.180084km	2844755
(8)<2>	EQ:	rossdorf	P	rossdorf	49.859720	8.761670	373.727222km	2844756
(8)<2>	EQ:	rossdorf	P	rossdorf	47.835960	12.848980	512.694695km	2844757
(8)<2>	EQ:	rossdorf	A	rossdorf	50.700000	10.216700	236.588121km	6550037
(8)<2>	EQ:	rossdorf	A	rossdorf	49.862300	8.744100	374.297880km	6553169
(12)<2>	EQ:	allendorf	P	allendorf	51.283770	7.951250	0.000000km	2958437
(12)<2>	EQ:	allendorf	P	allendorf	51.029950	8.672320	57.811647km	2958438
(12)<2>	EQ:	allendorf	P	allendorf	50.989890	9.335830	102.272777km	2958439
(12)<2>	EQ:	allendorf	P	allendorf	50.827560	9.527960	121.639231km	2958440
(12)<2>	EQ:	allendorf	P	allendorf	50.846960	8.584050	65.795812km	2958441
(12)<2>	EQ:	allendorf	P	allendorf	50.810660	10.254520	169.870586km	2958442
(12)<2>	EQ:	allendorf	P	allendorf	50.654680	11.157990	235.853060km	2958443
(12)<2>	EQ:	allendorf	P	allendorf	50.572470	8.290520	82.646571km	2958444
(12)<2>	EQ:	allendorf	P	allendorf	50.498000	8.201600	89.170956km	2958445
(12)<2>	EQ:	allendorf	P	allendorf	50.267780	7.998820	113.072554km	2958446
(12)<2>	EQ:	allendorf	P	allendorf	52.181680	8.211100	101.503434km	2958447
(12)<2>	EQ:	allendorf	P	allendorf	50.748970	8.183770	61.692502km	2958448
(12)<2>	EQ:	allendorf	A	allendorf	50.650000	11.166700	236.602610km	6550307
(12)<2>	EQ:	allendorf	A	allendorf	50.266700	8.000000	113.195132km	6553990
(3)<1>	EQ:	weissach	A	weissach	48.833300	8.916670	1.733095km	6547439
(4)<1>	EQ:	ahrensfelde	A	ahrensfelde	52.583300	13.583300	244.687498km	6547543
(1)<0>	EQ:	fahrenzhausen	P	fahrenzhausen	48.353170	11.555210	0.000000km	2928116
(1)<0>	EQ:	lampertheim	P	lampertheim	49.597860	8.472500	0.000000km	2881695
(2)<1>	EQ:	egelsbach	A	egelsbach	49.965950	8.673600	0.763212km	6553199
(1)<0>	EQ:	rodental	P	rodental	50.295160	11.041220	0.000000km	3207410
(1)<0>	EQ:	diepholz	P	diepholz	52.607830	8.370050	0.000000km	2937317
(2)<1>	EQ:	niedernberg	A	niedernberg	49.912200	9.136940	212.389769km	6557029
(1)<0>	EQ:	altena	P	altena	51.294720	7.673370	0.000000km	2957886
(5)<1>	EQ:	billerbeck	A	billerbeck	51.966700	7.300000	263.223802km	6557579
(1)<0>	EQ:	meckenbeuren	P	meckenbeuren	47.700000	9.566670	0.000000km	2872585
(10)<2>	EQ:	rain	P	rain	49.064530	10.295800	0.000000km	2850806
(10)<2>	EQ:	rain	P	rain	48.904960	12.468710	160.025570km	2850807
(10)<2>	EQ:	rain	P	rain	48.690290	10.916110	61.662991km	2850808
(10)<2>	EQ:	rain	P	rain	48.161530	12.079770	165.483321km	2850809
(10)<2>	EQ:	rain	P	rain	47.795890	11.583280	170.225679km	2850811
(10)<2>	EQ:	rain	P	rain	47.749830	11.825240	184.908063km	2850812
(10)<2>	EQ:	rain	P	rain	47.741700	11.417220	168.908489km	2850813
(10)<2>	EQ:	rain	P	rain	47.708260	11.567830	177.817757km	2850814
(10)<2>	EQ:	rain	P	rain	47.670480	10.086270	155.790112km	2850815
(10)<2>	EQ:	rain	P	rain	47.615950	12.194380	213.892398km	2850816
(10)<2>	EQ:	rain	A	rain	48.900000	12.466700	159.949353km	6556593
(10)<2>	EQ:	rain	A	rain	48.683300	10.900000	61.333241km	6558426
(1)<0>	EQ:	wietze	P	wietze	52.650000	9.833330	0.000000km	2809092
(1)<0>	EQ:	schwaigern	P	schwaigern	49.144940	9.055250	0.000000km	2835411
(1)<0>	EQ:	oettingen in bayern	P	oettingen in bayern	48.952740	10.604650	0.000000km	2857847
(1)<0>	EQ:	simmerath	P	simmerath	50.600000	6.300000	0.000000km	2832023
(1)<0>	EQ:	kalefeld	P	kalefeld	51.800000	10.033330	0.000000km	2893868
(1)<0>	EQ:	andernach	P	andernach	50.431090	7.404250	0.000000km	2956206
(0)<0>	No match: wurselen
(8)<0>	EQ:	eschenau	P	eschenau	50.437650	8.173320	0.000000km	2929093
(8)<0>	EQ:	eschenau	P	eschenau	49.962470	10.501390	174.411616km	2929094
(8)<0>	EQ:	eschenau	P	eschenau	49.600680	7.488130	105.251763km	2929095
(8)<0>	EQ:	eschenau	P	eschenau	49.573150	11.199700	237.285314km	2929096
(8)<0>	EQ:	eschenau	P	eschenau	49.137610	9.401150	169.481480km	2929097
(8)<0>	EQ:	eschenau	P	eschenau	49.083840	9.895110	195.087147km	2929098
(8)<0>	EQ:	eschenau	P	eschenau	47.952410	12.398940	413.701876km	2929099
(8)<0>	EQ:	eschenau	P	eschenau	47.752700	10.532650	344.703686km	2929100
(2)<1>	EQ:	zwiesel	A	zwiesel	49.012300	13.225600	214.372548km	6558250
(1)<0>	EQ:	burgthann	P	burgthann	49.352020	11.311540	0.000000km	2941090
(1)<0>	EQ:	ginsheim-gustavsburg	P	ginsheim-gustavsburg	49.971100	8.345320	0.000000km	2920329
(1)<0>	EQ:	leutkirch im allgau	P	leutkirch im allgau	47.826720	10.020500	0.000000km	2878270
(1)<0>	EQ:	altmannstein	P	altmannstein	48.899200	11.652030	0.000000km	2957001
(1)<0>	EQ:	alsbach-hahnlein	P	alsbach-hahnlein	49.738610	8.595830	0.000000km	3272934
(0)<0>	No match: mulheim
(1)<0>	EQ:	freital	P	freital	51.001660	13.648800	0.000000km	2925017
(1)<0>	EQ:	wachtberg	P	wachtberg	50.633330	7.100000	0.000000km	2815678
(1)<0>	EQ:	lenggries	P	lenggries	47.683330	11.566670	0.000000km	2878824
(0)<0>	No match: huckelhoven
(1)<0>	EQ:	fritzlar	P	fritzlar	51.131810	9.275570	0.000000km	2924326
(1)<0>	EQ:	hildesheim	P	hildesheim	52.150770	9.951120	0.000000km	2904789
(0)<0>	No match: markranstadt
(1)<0>	EQ:	plochingen	P	plochingen	48.710670	9.419490	0.000000km	2853180
(0)<0>	No match: luneburg
(1)<0>	EQ:	celle	P	celle	52.622640	10.080470	0.000000km	2940213
(1)<0>	EQ:	grossbeeren	P	grossbeeren	52.358620	13.309940	0.000000km	2916996
(1)<0>	EQ:	erlangen	P	erlangen	49.590990	11.007830	0.000000km	2929567
(4)<1>	EQ:	herzberg	A	herzberg	53.533300	11.933300	0.450755km	6548358
(2)<3>	EQ:	eisenach	P	eisenach	50.980700	10.315220	0.000000km	2931574
(2)<3>	EQ:	eisenach	P	eisenach	49.850000	6.516670	297.797872km	2931575
(2)<3>	EQ:	eisenach	A	eisenach	50.974430	10.334070	1.496381km	6547386
(2)<3>	EQ:	eisenach	A	eisenach	50.974430	10.334070	1.496381km	6550957
(2)<3>	EQ:	eisenach	A	eisenach	49.850000	6.516670	297.797872km	6554535
(1)<0>	EQ:	zittau	P	zittau	50.897720	14.807640	0.000000km	2804008
(1)<0>	EQ:	neunburg vorm wald	P	neunburg vorm wald	49.347820	12.386210	0.000000km	2864468
(18)<0>	EQ:	krumbach	P	krumbach	50.940570	12.993970	0.000000km	2883398
(18)<0>	EQ:	krumbach	P	krumbach	50.668130	8.599300	311.223208km	2883399
(18)<0>	EQ:	krumbach	P	krumbach	50.669670	7.451670	391.751434km	2883400
(18)<0>	EQ:	krumbach	P	krumbach	50.204700	10.876540	170.872886km	2883401
(18)<0>	EQ:	krumbach	P	krumbach	49.823620	10.696130	205.284166km	2883402
(18)<0>	EQ:	krumbach	P	krumbach	49.664500	8.797570	330.890686km	2883403
(18)<0>	EQ:	krumbach	P	krumbach	49.447000	11.904120	183.452958km	2883404
(18)<0>	EQ:	krumbach	P	krumbach	49.452590	9.183810	318.388032km	2883405
(18)<0>	EQ:	krumbach	P	krumbach	49.324530	12.034210	192.403032km	2883406
(18)<0>	EQ:	krumbach	P	krumbach	48.976930	12.529910	220.934823km	2883407
(18)<0>	EQ:	krumbach	P	krumbach	48.700000	12.033330	258.613058km	2883408
(18)<0>	EQ:	krumbach	P	krumbach	48.407430	12.099980	289.031588km	2883409
(18)<0>	EQ:	krumbach	P	krumbach	48.241820	10.363200	355.297637km	2883410
(18)<0>	EQ:	krumbach	P	krumbach	48.042430	9.539070	408.005907km	2883411
(18)<0>	EQ:	krumbach	P	krumbach	47.961980	9.046020	437.691892km	2883412
(18)<0>	EQ:	krumbach	P	krumbach	47.849380	9.362260	433.123988km	2883413
(18)<0>	EQ:	krumbach	P	krumbach	47.792810	9.844020	418.125972km	2883414
(18)<0>	EQ:	krumbach	P	krumbach	47.681060	9.660520	435.978434km	2883415
(4)<0>	EQ:	ulm	P	ulm	48.726070	8.016140	0.000000km	2820253
(4)<0>	EQ:	ulm	P	ulm	48.579160	8.049550	16.521250km	2820254
(4)<0>	EQ:	ulm	P	ulm	50.581820	8.299310	207.410818km	2820255
(4)<0>	EQ:	ulm	P	ulm	48.398410	9.991550	150.285560km	2820256
(1)<0>	EQ:	hoyerswerda	P	hoyerswerda	51.437870	14.235490	0.000000km	2898304
(1)<0>	EQ:	olbernhau	P	olbernhau	50.658700	13.342500	0.000000km	2857484
(1)<0>	EQ:	eggolsheim	P	eggolsheim	49.769610	11.057010	0.000000km	2933019
(1)<0>	EQ:	pasewalk	P	pasewalk	53.506270	13.989970	0.000000km	2855337
(1)<0>	EQ:	neubiberg	P	neubiberg	48.077100	11.658120	0.000000km	2866174
(1)<0>	EQ:	vellmar	P	vellmar	51.358060	9.479740	0.000000km	3207197
(1)<0>	EQ:	meinerzhagen	P	meinerzhagen	51.107400	7.648380	0.000000km	2872237
(2)<0>	IN:	cologne	P	roman-catholic archdiocese of cologne	50.941110	6.957900	0.000000km	11778268
(2)<0>	IN:	cologne	P	archdioces cologne	50.941050	6.957960	0.007895km	11778269
(6)<0>	IN:	buren	P	wesselburenerkoog	54.250000	8.883330	0.000000km	2810617
(6)<0>	IN:	buren	P	wesselburener deichhausen	54.166670	8.933330	9.832379km	2810618
(6)<0>	IN:	buren	P	wesselburen	54.212170	8.924190	4.983071km	2810619
(6)<0>	IN:	buren	P	thalingburen	54.106410	9.031890	18.696090km	2823062
(6)<0>	IN:	buren	P	emsburen	52.400000	7.300000	231.332492km	2930454
(6)<0>	IN:	buren	P	dollenburen	54.250000	9.066670	11.950508km	2936376
(1)<0>	EQ:	kitzingen	P	kitzingen	49.739730	10.150720	0.000000km	2890158
(2)<1>	EQ:	waldsee	A	waldsee	49.395300	8.440280	0.002224km	6555254
(1)<0>	EQ:	schiffweiler	P	schiffweiler	49.366670	7.133330	0.000000km	2839316
(1)<0>	EQ:	sankt augustin	P	sankt augustin	50.775380	7.197000	0.000000km	2841648
(1)<0>	EQ:	hilden	P	hilden	51.168180	6.930930	0.000000km	2904795
(1)<0>	EQ:	kolbermoor	P	kolbermoor	47.849650	12.066960	0.000000km	2886446
(1)<0>	EQ:	lahnstein	P	lahnstein	50.300000	7.616670	0.000000km	2881889
(4)<1>	EQ:	petershagen	A	petershagen	52.375200	8.942600	370.794112km	6557647
(1)<0>	EQ:	bonn	P	bonn	50.734380	7.095490	0.000000km	2946447
(2)<0>	EQ:	oldenburg	P	oldenburg	53.955080	13.556610	0.000000km	2857457
(2)<0>	EQ:	oldenburg	P	oldenburg	53.141180	8.214670	365.388628km	2857458
(1)<0>	EQ:	gardelegen	P	gardelegen	52.525200	11.395230	0.000000km	2922580
(1)<0>	EQ:	ribnitz-damgarten	P	ribnitz-damgarten	54.242200	12.456660	0.000000km	2847524
(1)<0>	EQ:	neckartailfingen	P	neckartailfingen	48.611720	9.263710	0.000000km	2866757
(1)<0>	IN:	furtwangen	P	furtwangen im schwarzwald	48.051560	8.207150	0.000000km	2923521
(2)<1>	EQ:	brandis	A	brandis	51.336510	12.609040	64.642055km	6550864
(1)<0>	EQ:	hohenkirchen-siegertsbrunn	P	hohenkirchen-siegertsbrunn	48.019320	11.719060	0.000000km	3205535
(0)<0>	No match: niebull
(1)<0>	EQ:	kamenz	P	kamenz	51.267980	14.093740	0.000000km	2893437
(1)<0>	EQ:	maintal	P	maintal	50.150000	8.833330	0.000000km	2874230
(1)<0>	EQ:	unna	P	unna	51.537950	7.689690	0.000000km	2820087
(1)<0>	EQ:	beverstedt	P	beverstedt	53.434130	8.819150	0.000000km	2949482
(5)<1>	EQ:	heinersreuth	A	heinersreuth	49.966700	11.533300	31.147765km	6556761
(4)<1>	EQ:	ludwigsburg	A	ludwigsburg	48.897230	9.191440	652.203649km	6557960
(2)<0>	EQ:	kiel	P	kiel	54.550000	9.166670	0.000000km	2891121
(2)<0>	EQ:	kiel	P	kiel	54.321330	10.134890	67.786695km	2891122
(1)<0>	EQ:	aerzen	P	aerzen	52.049530	9.258560	0.000000km	2959374
(1)<0>	EQ:	dortmund	P	dortmund	51.514940	7.466000	0.000000km	2935517
(1)<0>	EQ:	hildburghausen	P	hildburghausen	50.425530	10.731840	0.000000km	2904804
(1)<0>	EQ:	sankt blasien	P	sankt blasien	47.762520	8.127140	0.000000km	2841643
(1)<0>	EQ:	oschatz	P	oschatz	51.300010	13.109840	0.000000km	2856944
(1)<0>	EQ:	haren	P	haren	52.792620	7.241420	0.000000km	2910514
(1)<0>	EQ:	aidlingen	P	aidlingen	48.678490	8.895240	0.000000km	2958904
(1)<0>	EQ:	alsfeld	P	alsfeld	50.751850	9.270820	0.000000km	2958128
(1)<0>	EQ:	regenstauf	P	regenstauf	49.120140	12.130270	0.000000km	2849476
(1)<0>	EQ:	gudensberg	P	gudensberg	51.177060	9.367480	0.000000km	2913890
(4)<1>	EQ:	schwerin	A	schwerin	52.150000	13.633300	222.315277km	6547574
(2)<1>	EQ:	treuen	A	treuen	50.543900	12.314000	391.303564km	6550770
(1)<0>	IN:	breisach	P	breisach am rhein	48.032790	7.582940	0.000000km	2944800
(1)<0>	EQ:	sassnitz	P	sassnitz	54.515700	13.644510	0.000000km	2841333
(1)<0>	EQ:	edenkoben	P	edenkoben	49.283930	8.127140	0.000000km	2933410
(0)<1>	No match:	vilshofen an der donau	A	vilshofen an der donau	48.630050	13.186180	377.489315km	6558938
(1)<0>	EQ:	stuttgart	P	stuttgart	48.782320	9.177020	0.000000km	2825297
(3)<1>	EQ:	karlsruhe	A	karlsruhe	49.008300	8.397860	600.799330km	6555606
(1)<0>	EQ:	owen	P	owen	48.587420	9.449780	0.000000km	2855824
(1)<0>	EQ:	sailauf	P	sailauf	50.024610	9.259320	0.000000km	3208010
(4)<0>	EQ:	wittenberg	P	wittenberg	54.261110	10.383410	0.000000km	2807346
(4)<0>	EQ:	wittenberg	P	wittenberg	53.416670	9.966670	97.909239km	2807347
(4)<0>	EQ:	wittenberg	P	wittenberg	47.650000	9.683330	737.100378km	2807348
(4)<0>	EQ:	wittenberg	P	wittenberg	51.866100	12.649730	306.757925km	7303020
(1)<0>	EQ:	sondershausen	P	sondershausen	51.369730	10.870110	0.000000km	2831276
(1)<0>	EQ:	hurth	P	hurth	48.927510	10.910830	0.000000km	2897217
(0)<0>	No match: barsbuttel
(1)<0>	EQ:	beeskow	P	beeskow	52.172910	14.245970	0.000000km	2951528
(1)<0>	EQ:	espelkamp	P	espelkamp	52.382510	8.621270	0.000000km	2928874
(1)<0>	EQ:	bochum	P	bochum	51.481650	7.216480	0.000000km	2947416
(1)<0>	EQ:	erftstadt	P	erftstadt	50.814810	6.793870	0.000000km	2929671
(1)<0>	EQ:	erding	P	erding	48.306030	11.906860	0.000000km	2929715
(1)<0>	EQ:	bad oeynhausen	P	bad oeynhausen	52.206990	8.803650	0.000000km	2953386
(0)<0>	No match: stolberg (rhineland)
(1)<0>	EQ:	titisee-neustadt	P	titisee-neustadt	47.921040	8.190630	0.000000km	2822083
(2)<0>	EQ:	leer	P	leer	53.231570	7.461000	0.000000km	2879697
(2)<0>	EQ:	leer	P	leer	52.113990	7.294920	124.870688km	2879698
(0)<0>	No match: hann. munden
(0)<0>	No match: bergen auf rugen
(1)<0>	IN:	schulp	P	schulpforte	51.143490	11.752540	0.000000km	2835939
(5)<2>	EQ:	bremen	P	bremen	53.075160	8.807770	0.000000km	2944388
(5)<2>	EQ:	bremen	P	bremen	51.504220	7.958000	184.165131km	2944389
(5)<2>	EQ:	bremen	P	bremen	50.723700	10.003660	274.269075km	2944390
(5)<2>	EQ:	bremen	P	bremen	48.026560	9.362500	562.973520km	2944391
(5)<2>	EQ:	bremen	P	bremen	47.733330	9.933330	599.550264km	2944392
(5)<2>	EQ:	bremen	A	bremen	53.083330	8.833330	1.939241km	2944387
(5)<2>	EQ:	bremen	A	bremen	53.088910	8.790630	1.913296km	6553020
(1)<0>	EQ:	goch	P	goch	51.678730	6.158950	0.000000km	2919625
(2)<0>	IN:	duren	P	oberdurenbach	50.466670	7.166670	0.000000km	2861038
(2)<0>	IN:	duren	P	niederdurenbach	50.450000	7.183330	2.199587km	2863505
(2)<1>	EQ:	wolfsburg	A	wolfsburg	52.423940	10.781240	0.066919km	6552298
(1)<0>	EQ:	wermelskirchen	P	wermelskirchen	51.139700	7.215830	0.000000km	2810855
(1)<0>	EQ:	troisdorf	P	troisdorf	50.809010	7.149680	0.000000km	2821029
(19)<0>	EQ:	buhl	P	buhl	50.076660	10.660480	0.000000km	2941967
(19)<0>	EQ:	buhl	P	buhl	49.920260	11.637480	72.176198km	2941968
(19)<0>	EQ:	buhl	P	buhl	49.843780	11.617310	73.380345km	2941969
(19)<0>	EQ:	buhl	P	buhl	49.603150	11.340210	71.864067km	2941970
(19)<0>	EQ:	buhl	P	buhl	49.586460	12.516520	144.231545km	2941971
(19)<0>	EQ:	buhl	P	buhl	49.229770	10.317850	97.387981km	2941973
(19)<0>	EQ:	buhl	P	buhl	49.137710	9.572320	130.732407km	2941974
(19)<0>	EQ:	buhl	P	buhl	49.017370	12.634290	185.146138km	2941975
(19)<0>	EQ:	buhl	P	buhl	48.696760	8.135230	239.072434km	2941976
(19)<0>	EQ:	buhl	P	buhl	48.495890	7.931470	265.157903km	2941977
(19)<0>	EQ:	buhl	P	buhl	48.483330	8.998880	214.504041km	2941978
(19)<0>	EQ:	buhl	P	buhl	48.417130	10.186560	187.760566km	2941979
(19)<0>	EQ:	buhl	P	buhl	48.221010	9.934470	213.057047km	2941980
(19)<0>	EQ:	buhl	P	buhl	48.194960	8.362580	268.134759km	2941981
(19)<0>	EQ:	buhl	P	buhl	47.683330	9.900000	271.933945km	2941982
(19)<0>	EQ:	buhl	P	buhl	47.654390	10.164200	271.821575km	2941983
(19)<0>	EQ:	buhl	P	buhl	47.639200	7.983460	334.709420km	2941984
(19)<0>	EQ:	buhl	P	buhl	47.617580	8.464520	317.394457km	2941985
(19)<0>	EQ:	buhl	P	buhl	48.238170	8.218210	271.151789km	2956634
(1)<0>	EQ:	duisburg	P	duisburg	51.432470	6.765160	0.000000km	2934691
(0)<0>	No match: tonning
(0)<0>	No match: zweibrucken
(5)<2>	EQ:	rosengarten	P	rosengarten	54.308360	13.381710	0.000000km	2845009
(5)<2>	EQ:	rosengarten	P	rosengarten	53.683550	9.614280	256.640950km	2845010
(5)<2>	EQ:	rosengarten	P	rosengarten	53.520890	9.812040	250.368532km	2845011
(5)<2>	EQ:	rosengarten	P	rosengarten	52.340610	14.471690	230.717327km	2845013
(5)<2>	EQ:	rosengarten	P	rosengarten	49.633050	8.399720	622.418996km	2845014
(5)<2>	EQ:	rosengarten	A	rosengarten	53.416670	9.866670	251.621235km	2845012
(5)<2>	EQ:	rosengarten	A	rosengarten	49.060460	9.707360	636.572224km	2845015
(0)<0>	No match: hartheim am rhein
(0)<0>	No match: schwabisch hall
(0)<0>	No match: wulfrath
(2)<1>	EQ:	bellenberg	A	bellenberg	48.250000	10.100000	1.050874km	6557185
(1)<0>	EQ:	landau	P	landau	51.342090	9.085010	0.000000km	2881651
(1)<0>	EQ:	erfurt	P	erfurt	50.978700	11.032830	0.000000km	2929670
(2)<1>	EQ:	ilmenau	A	ilmenau	50.691200	10.919900	0.892601km	6551005
(16)<0>	IN:	mucke	P	muckers	51.821800	14.076140	0.000000km	2868877
(16)<0>	IN:	mucke	P	muckern	51.214080	12.462370	130.836752km	2868878
(16)<0>	IN:	mucke	P	muckenthal	49.886410	12.142750	254.715703km	2868884
(16)<0>	IN:	mucke	P	muckental	49.425620	9.204020	435.637454km	2868887
(16)<0>	IN:	mucke	P	muckental	48.995220	10.199390	417.978790km	2868888
(16)<0>	IN:	mucke	P	muckenschopf	48.694330	7.987580	556.040100km	2868891
(16)<0>	IN:	mucke	P	muckenreuth	50.005180	11.493680	271.677125km	2868892
(16)<0>	IN:	mucke	P	muckenreuth	49.938740	11.777180	264.662096km	2868893
(16)<0>	IN:	mucke	P	muckenloch	49.390160	8.859580	457.570625km	2868896
(16)<0>	IN:	mucke	P	muckendorf	48.741890	12.065550	371.319654km	2868908
(16)<0>	IN:	mucke	P	muckenberg	48.221080	8.331530	574.028336km	2868912
(16)<0>	IN:	mucke	P	muckenbach	49.199540	12.302630	317.643589km	2868919
(16)<0>	IN:	mucke	P	muckeln	50.083330	6.916670	538.699200km	2868920
(16)<0>	IN:	mucke	P	dreiskau-muckern	51.216770	12.466480	130.435126km	2935087
(16)<0>	IN:	mucke	P	muckenwinkling	48.931980	12.659110	336.868465km	3206686
(16)<0>	IN:	mucke	P	muckensturm	48.822000	9.236500	479.528056km	11807668
(1)<0>	EQ:	lemgo	P	lemgo	52.027860	8.899010	0.000000km	2878943
(1)<0>	EQ:	frankfurt	P	frankfurt	49.683330	10.533330	0.000000km	2925536
(1)<0>	EQ:	dreieich	P	dreieich	50.019970	8.696110	0.000000km	2935220
(1)<0>	EQ:	bad gandersheim	P	bad gandersheim	51.871670	10.025370	0.000000km	2953456
(1)<0>	EQ:	emstek	P	emstek	52.833330	8.150000	0.000000km	2930426
(2)<1>	EQ:	berlin	A	berlin	52.523300	13.413770	259.609713km	6547539
(3)<1>	EQ:	arnsberg	A	arnsberg	51.426300	7.991300	7.991553km	6557667
(2)<1>	EQ:	sassenberg	A	sassenberg	51.996400	8.041530	0.467643km	6557608
(2)<1>	EQ:	bebra	A	bebra	50.970170	9.800770	84.868432km	6557810
(4)<1>	EQ:	illingen	A	illingen	48.953700	8.915600	304.435205km	6555703
(1)<0>	EQ:	kummersbruck	P	kummersbruck	49.419170	11.888330	0.000000km	2882529
(1)<0>	EQ:	mayen	P	mayen	50.327970	7.222770	0.000000km	2872649
(3)<1>	EQ:	wesel	A	wesel	51.657000	6.622300	284.441670km	6557521
(1)<0>	EQ:	wardenburg	P	wardenburg	53.066670	8.200000	0.000000km	2814146
(1)<0>	EQ:	hilpoltstein	P	hilpoltstein	49.190470	11.190600	0.000000km	2904638
(2)<1>	EQ:	heilbronn	A	heilbronn	49.142300	9.223430	83.135488km	6555511
(1)<0>	EQ:	braunlingen	P	braunlingen	47.929570	8.448060	0.000000km	2945051
(1)<0>	EQ:	straubing	P	straubing	48.881260	12.573850	0.000000km	2826099
(1)<0>	EQ:	bad wurzach	P	bad wurzach	47.907990	9.896860	0.000000km	2953312
(1)<0>	EQ:	ottweiler	P	ottweiler	49.401330	7.164240	0.000000km	2855917
(0)<0>	No match: florsheim am main
(1)<0>	EQ:	engelskirchen	P	engelskirchen	50.988540	7.413910	0.000000km	2930216
(1)<0>	EQ:	mettmann	P	mettmann	51.250400	6.975360	0.000000km	2871535
(0)<0>	No match: konigslutter am elm
(1)<0>	EQ:	buchloe	P	buchloe	48.037190	10.725480	0.000000km	2942281
(1)<0>	EQ:	kulmbach	P	kulmbach	50.100680	11.450320	0.000000km	2882588
(1)<0>	EQ:	alzey	P	alzey	49.746570	8.115130	0.000000km	2956710
(2)<0>	EQ:	dietfurt	P	dietfurt	49.035780	11.586240	0.000000km	2937110
(2)<0>	EQ:	dietfurt	P	dietfurt	48.077550	9.140130	209.649891km	2937111
(1)<0>	EQ:	freudenstadt	P	freudenstadt	48.466950	8.413710	0.000000km	2924894
(1)<0>	EQ:	dieburg	P	dieburg	49.897380	8.846130	0.000000km	2937591
(1)<0>	EQ:	idar-oberstein	P	idar-oberstein	49.714430	7.307760	0.000000km	2896753
(1)<0>	EQ:	tittmoning	P	tittmoning	48.061640	12.767600	0.000000km	2822075
(8)<1>	EQ:	lindau	A	lindau	54.383300	9.900000	493.648172km	6551874
(1)<0>	EQ:	bamberg	P	bamberg	49.898730	10.900670	0.000000km	2952984
(1)<0>	EQ:	bad schwalbach	P	bad schwalbach	50.141960	8.069640	0.000000km	2953348
(1)<0>	EQ:	sarstedt	P	sarstedt	52.234950	9.854110	0.000000km	2841386
(0)<0>	No match: julich
(6)<1>	EQ:	eschenbach	A	eschenbach	48.652560	9.669770	276.573345km	6555457
(1)<0>	EQ:	barsinghausen	P	barsinghausen	52.300000	9.450000	0.000000km	2952406
