79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(1)<0>	EQ:	salzbergen	P	salzbergen	52.333330	7.350000	0.000000km	2842175
(1)<0>	EQ:	altenmarkt an der alz	P	altenmarkt an der alz	48.002580	12.536710	0.000000km	2957539
(0)<0>	No match: kernen
(5)<1>	EQ:	blumberg	A	blumberg	47.833300	8.533330	717.849710km	6558123
(1)<0>	EQ:	perl	P	perl	49.471690	6.381340	0.000000km	2854859
(1)<0>	EQ:	klingenberg am main	P	klingenberg am main	49.785070	9.180250	0.000000km	2887736
(1)<0>	EQ:	lauffen am neckar	P	lauffen am neckar	49.073400	9.145670	0.000000km	2880111
(1)<0>	EQ:	harsum	P	harsum	52.210450	9.964860	0.000000km	2910269
(2)<1>	EQ:	wildau	A	wildau	52.316950	13.615250	1.233308km	6547577
(0)<0>	No match: furstenau
(1)<0>	EQ:	alteglofsheim	P	alteglofsheim	48.916670	12.200000	0.000000km	2957938
(0)<0>	No match: ueckermunde
(4)<1>	EQ:	hohenfels	A	hohenfels	47.883330	9.116670	315.566008km	3209419
(1)<0>	EQ:	gottenheim	P	gottenheim	48.050000	7.733330	0.000000km	2918707
(0)<0>	No match: kussaberg
(1)<0>	EQ:	usingen	P	usingen	50.335540	8.536880	0.000000km	2818097
(1)<0>	EQ:	heeslingen	P	heeslingen	53.316670	9.333330	0.000000km	2908273
(10)<1>	EQ:	ebersdorf	A	ebersdorf	53.516700	9.066670	1.503522km	6552721
(1)<0>	EQ:	baierbrunn	P	baierbrunn	48.020300	11.486890	0.000000km	2953213
(1)<0>	EQ:	kahl am main	P	kahl am main	50.069810	9.005530	0.000000km	2894245
(5)<1>	EQ:	blankenburg	A	blankenburg	51.200000	10.750000	242.242993km	6549911
(1)<0>	EQ:	maulburg	P	maulburg	47.646310	7.782100	0.000000km	2872775
(1)<0>	EQ:	stadecken-elsheim	P	stadecken-elsheim	49.912220	8.125280	0.000000km	3272454
(0)<1>	No match:	swisttal	A	swisttal	50.700000	6.916670	122.846805km	3207660
(10)<2>	EQ:	rodenbach	P	rodenbach	51.073920	8.756650	0.000000km	2846057
(10)<2>	EQ:	rodenbach	P	rodenbach	50.771970	8.208690	51.115814km	2846058
(10)<2>	EQ:	rodenbach	P	rodenbach	50.638030	7.649710	91.795945km	2846059
(10)<2>	EQ:	rodenbach	P	rodenbach	50.461250	7.452450	114.499322km	2846060
(10)<2>	EQ:	rodenbach	P	rodenbach	50.434550	9.928290	109.061227km	2846061
(10)<2>	EQ:	rodenbach	P	rodenbach	50.301540	8.954500	87.051378km	2846062
(10)<2>	EQ:	rodenbach	P	rodenbach	50.150000	9.033330	104.626585km	2846063
(10)<2>	EQ:	rodenbach	P	rodenbach	49.960500	9.594210	137.361925km	2846064
(10)<2>	EQ:	rodenbach	P	rodenbach	49.574140	8.106950	173.123349km	2846066
(10)<2>	EQ:	rodenbach	P	rodenbach	49.472810	7.657920	194.555533km	2846067
(10)<2>	EQ:	rodenbach	A	rodenbach	50.137000	9.040960	106.148959km	6553190
(10)<2>	EQ:	rodenbach	A	rodenbach	49.466700	7.650000	195.406964km	6555057
(1)<0>	EQ:	jettingen-scheppach	P	jettingen-scheppach	48.389600	10.438100	0.000000km	3336896
(1)<0>	EQ:	neuhausen auf den fildern	P	neuhausen auf den fildern	48.683330	9.283330	0.000000km	2865086
(1)<0>	EQ:	bessenbach	P	bessenbach	49.962400	9.247190	0.000000km	2826181
(10)<3>	EQ:	hohenstein	P	hohenstein	54.287980	10.805400	0.000000km	2901427
(10)<3>	EQ:	hohenstein	P	hohenstein	53.626840	13.589290	196.984834km	2901428
(10)<3>	EQ:	hohenstein	P	hohenstein	52.568170	13.971170	284.410153km	2901429
